2000,1.6261388E-10
4000,1.3488971E-10
6000,1.8889944E-10
8000,2.4821528E-10
10000,2.9289646E-10
12000,3.8852344E-10
14000,4.5139134E-10
16000,5.0680166E-10
18000,5.853356E-10
20000,6.724808E-10
22000,7.0600675E-10
24000,8.168217E-10
26000,9.696743E-10
28000,9.913923E-10
30000,1.1510616E-9
32000,1.1557494E-9
34000,1.2607182E-9
36000,1.3427589E-9
38000,1.3643192E-9
40000,1.4581027E-9
42000,1.6084504E-9
44000,1.7601852E-9
46000,1.8120611E-9
48000,1.8799517E-9
50000,2.0505027E-9
52000,1.970503E-9
54000,2.072908E-9
56000,2.2749251E-9
58000,2.3103672E-9
60000,2.2238085E-9
62000,2.422242E-9
64000,2.4215916E-9
66000,2.3360751E-9
68000,2.5509952E-9
70000,2.777256E-9
72000,2.9660374E-9
74000,2.848245E-9
76000,2.9436014E-9
78000,2.9223008E-9
80000,3.0903837E-9
82000,3.1040068E-9
84000,3.07921E-9
86000,3.0929688E-9
88000,3.059946E-9
90000,3.0560727E-9
92000,3.0946623E-9
94000,3.093012E-9
96000,3.0565526E-9
98000,3.0568617E-9
100000,3.0267782E-9
